gas_param,opcode,category,client,runtime_ms,exact,rounded,current,loss_round,rate_round,loss_current,rate_current,below_1,is_base,count,weight
OPCODE_KECCAK256_PER_WORD,KECCAK256,Hashing,nethermind,2.2335257352194506e-05,2.233525735219451,3,6,0.7664742647805491,0.2554914215935164,3.766474264780549,0.6277457107967582,False,False,,
OPCODE_XOR,XOR,Bitwise,besu,7.511208661920352e-06,0.7511208661920352,1,3,0.24887913380796478,0.24887913380796478,2.248879133807965,0.7496263779359883,True,True,191676139.0,0.0006614068463426561
OPCODE_DIV,DIV,Arithmetic,besu,1.5153297943120834e-05,1.5153297943120834,2,5,0.48467020568791663,0.24233510284395832,3.484670205687917,0.6969340411375834,False,True,1053518195.0,0.0036353202362843793
OPCODE_ADDMOD,ADDMOD,Arithmetic,besu,2.333141333885947e-05,2.333141333885947,3,8,0.6668586661140532,0.22228622203801773,5.666858666114053,0.7083573332642567,False,True,249100340.0,0.000859557538887422
OPCODE_MSTORE_BASE,MSTORE,Memory,besu,1.647370940276998e-05,1.647370940276998,2,3,0.35262905972300196,0.17631452986150098,1.352629059723002,0.45087635324100067,False,True,7470128871.0,0.02577678371506292
OPCODE_SGT,SGT,Comparison,besu,8.25813089297124e-06,0.825813089297124,1,3,0.17418691070287595,0.17418691070287595,2.174186910702876,0.724728970234292,True,True,444424450.0,0.0015335522483164662
OPCODE_SDIV,SDIV,Arithmetic,besu,1.6546109013629162e-05,1.6546109013629162,2,5,0.3453890986370838,0.1726945493185419,3.345389098637084,0.6690778197274168,False,True,77071165.0,0.00026594544554449996
OPCODE_AND,AND,Bitwise,besu,8.465927754256519e-06,0.8465927754256519,1,3,0.15340722457434808,0.15340722457434808,2.153407224574348,0.7178024081914494,True,True,6711415281.0,0.023158730338897957
OPCODE_MCOPY_BASE,MCOPY,Memory,besu,5.100096333548802e-05,5.1000963335488025,6,3,0.8999036664511975,0.1499839444085329,0.0,0.0,False,True,31499639.0,0.0001086941598501321
OPCODE_OR,OR,Bitwise,besu,8.524172240014657e-06,0.8524172240014657,1,3,0.1475827759985343,0.1475827759985343,2.147582775998534,0.7158609253328447,True,True,952026817.0,0.0032851092366045992
OPCODE_MULMOD,MULMOD,Arithmetic,besu,3.5696378338528256e-05,3.5696378338528256,4,8,0.4303621661471744,0.1075905415367936,4.430362166147175,0.5537952707683969,False,True,496180773.0,0.0017121450901397349
PRECOMPILE_RIPEMD160_PER_WORD,RIPEMD160,Precompile,besu,5.413890397204548e-05,5.413890397204548,6,120,0.5861096027954522,0.09768493379924204,114.58610960279545,0.9548842466899621,False,False,,
OPCODE_CALLDATALOAD,CALLDATALOAD,Call context,geth,9.117224750294417e-05,9.117224750294417,10,3,0.882775249705583,0.0882775249705583,0.0,0.0,False,True,2141259994.0,0.007388734076239061
OPCODE_KECCAK256_BASE,KECCAK256,Hashing,besu,0.0001102407325901,11.024073259009999,12,30,0.9759267409900012,0.08132722841583344,18.97592674099,0.6325308913663333,False,True,966740649.0,0.0033358814885474227
OPCODE_CALLDATACOPY_BASE,CALLDATACOPY,Call context,besu,8.320720568152291e-05,8.320720568152291,9,3,0.6792794318477089,0.07547549242752322,0.0,0.0,False,True,212393067.0,0.0007328936682594304
OPCODE_JUMP,JUMP,Control flow,besu,2.787843235819367e-05,2.787843235819367,3,8,0.21215676418063278,0.07071892139354426,5.212156764180633,0.6515195955225791,False,True,14172252347.0,0.048903451307528566
OPCODE_SLT,SLT,Comparison,besu,9.35004076090277e-06,0.9350040760902769,1,3,0.06499592390972309,0.06499592390972309,2.064995923909723,0.6883319746365744,True,True,947752973.0,0.0032703617062309807
PRECOMPILE_IDENTITY_PER_WORD,IDENTITY,Precompile,geth,9.435479635315751e-06,0.9435479635315752,1,3,0.05645203646842478,0.05645203646842478,2.056452036468425,0.6854840121561416,True,False,,
OPCODE_BYTE,BYTE,Bitwise,besu,9.566795177506436e-06,0.9566795177506436,1,3,0.04332048224935636,0.04332048224935636,2.0433204822493565,0.6811068274164521,True,True,77505242.0,0.00026744329238729284
OPCODE_MOD,MOD,Arithmetic,besu,1.9518163869431905e-05,1.9518163869431906,2,5,0.048183613056809405,0.024091806528404702,3.0481836130568096,0.6096367226113619,False,True,60573818.0,0.00020901891150005908
