target_op,category,preset,test_name,fixture_params,fixture_filter,gas_params,count_source
NUMBER,Block/tx,block_number,test_block_context_ops,,opcode_NUMBER,OPCODE_NUMBER,
ORIGIN,Block/tx,tx_origin,test_call_frame_context_ops,,opcode_ORIGIN,OPCODE_ORIGIN,
PREVRANDAO,Block/tx,block_prevrandao,test_block_context_ops,,opcode_PREVRANDAO,OPCODE_PREVRANDAO,
TIMESTAMP,Block/tx,block_timestamp,test_block_context_ops,,opcode_TIMESTAMP,OPCODE_TIMESTAMP,
ADDRESS,Call context,call_address,test_call_frame_context_ops,,opcode_ADDRESS,OPCODE_ADDRESS,
CALLDATACOPY,Call context,call_calldatacopy,test_calldatacopy_from_origin,"calldata_size, mem_size",,"OPCODE_CALLDATACOPY_BASE, OPCODE_CALLDATACOPY_PER_WORD",
CALLDATALOAD,Call context,call_calldataload,test_calldataload,calldata_size,,OPCODE_CALLDATALOAD,
CALLDATASIZE,Call context,call_calldatasize,test_calldatasize,calldata_size,,OPCODE_CALLDATASIZE,
CALLER,Call context,call_caller,test_call_frame_context_ops,,opcode_CALLER,OPCODE_CALLER,
CALLVALUE,Call context,call_callvalue,test_callvalue_from_origin,,,OPCODE_CALLVALUE,
