gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_bn128,param_calldata_size,param_copy_size,param_k,param_mem_size,param_mod_bits,param_opcode,param_return_size,param_returned_size,new_gas_decimal,new_gas_rounded
PRECOMPILE_RIPEMD160_PER_WORD,besu,5.413890397204548e-05,5.367819890057585e-05,5.4603842703006876e-05,test_ripemd160_uncachable,RIPEMD160,size_words,0.0,,,,,,,,,,5.413890397204548,6
PRECOMPILE_IDENTITY_BASE,erigon,0.0009541732234979559,0.0009411330929739838,0.0009673813314387676,test_identity_uncachable,IDENTITY,target_coef,0.0,,,,,,,,,,95.4173223497956,96
PRECOMPILE_IDENTITY_PER_WORD,geth,9.435479635315753e-06,9.406107373147948e-06,9.462276539767594e-06,test_identity_fixed_size,IDENTITY,size_words,0.0,,,,,,,,,,0.9435479635315753,1
PRECOMPILE_BLAKE2F_BASE,erigon,0.0009380582892892442,0.0009247217474387791,0.0009495655358955394,test_blake2f_uncachable,BLAKE2F,target_coef,0.0,,,,,,,,,,93.80582892892443,94
PRECOMPILE_BLAKE2F_PER_ROUND,besu,2.2209551847594964e-06,2.1193209046094726e-06,2.3160004178384945e-06,test_blake2f_uncachable,BLAKE2F,num_rounds,0.0,,,,,,,,,,0.22209551847594963,1
PRECOMPILE_P256VERIFY,erigon,0.014050197916722115,0.013054180935350178,0.01477654069792459,test_p256verify_uncachable,P256VERIFY,target_coef,0.0,,,,,,,,,,1405.0197916722116,1406
PRECOMPILE_POINT_EVALUATION,nethermind,0.2343618309341056,0.22834949203064148,0.24019870691509534,test_point_evaluation_uncachable,POINT_EVALUATION,target_coef,0.0,,,,,,,,,,23436.18309341056,23437
PRECOMPILE_ECADD,erigon,0.0010753805466295868,0.0010415507574385804,0.0011050606937056807,test_alt_bn128_uncachable,ECADD,target_coef,0.0,,,,,,,,,,107.53805466295867,108
PRECOMPILE_ECMUL,reth,0.008392124919152158,0.004190118504351761,0.011790248969122343,test_alt_bn128_uncachable,ECMUL,target_coef,0.0,,,,,,,,,,839.2124919152159,840
PRECOMPILE_ECPAIRING_BASE,reth,0.08246597414857655,0.07784531242989796,0.08734586845660341,test_ec_pairing,ECPAIRING,target_coef,0.0,,,,,,,,,,8246.597414857655,8247
PRECOMPILE_ECPAIRING_PER_POINT,nethermind,0.11716888714207149,0.1164138982730497,0.11786137376902993,test_ec_pairing,ECPAIRING,num_pairs,0.0,,,,,,,,,,11716.88871420715,11717
PRECOMPILE_BLS_G1ADD,besu,0.001743106594529765,0.0017185143803658371,0.001765781992197475,test_bls12_381,BLS12_G1ADD,target_coef,0.0,,,,,,,,,,174.3106594529765,175
PRECOMPILE_BLS_G2ADD,besu,0.0021167881474208673,0.002089031883056011,0.002146133215085249,test_bls12_381,BLS12_G2ADD,target_coef,0.0,,,,,,,,,,211.67881474208673,212
PRECOMPILE_BLS_G1MAP,erigon,0.010372295419439067,0.009864020182551841,0.01080984355463602,test_bls12_381,BLS12_MAP_FP_TO_G1,target_coef,0.0,,,,,,,,,,1037.2295419439067,1038
PRECOMPILE_BLS_G2MAP,erigon,0.04489651112498393,0.0432188069384571,0.046483794915688534,test_bls12_381,BLS12_MAP_FP_TO_G2,target_coef,0.0,,,,,,,,,,4489.651112498394,4490
PRECOMPILE_BLS_G1MUL,,,,,,,,,,,,,,,,,,,
PRECOMPILE_BLS_G2MUL,,,,,,,,,,,,,,,,,,,
